time,map_coverage
1617758099.925683,4.0
1617758105.2624266,5.5
1617758110.5964553,6.0
1617758115.7823086,6.5
1617758120.84164,7.249999999999999
1617758126.036902,7.5
1617758131.1938272,7.5
1617758136.2429693,7.5
1617758141.22083,7.5
1617758146.4503982,7.5
1617758151.6159554,7.5
1617758156.7359142,7.5
1617758161.8134518,7.5
1617758166.8266695,7.5
1617758171.9171393,7.75
1617758177.0403984,7.75
1617758182.1641703,8.0
1617758187.22898,8.5
1617758192.3268125,8.5
1617758197.5195706,8.5
1617758202.689564,8.5
1617758207.7996244,8.75
1617758212.8769476,8.75
1617758217.8993716,8.75
1617758274.193818,20.5
1617758279.092777,21.75
1617758284.0101182,21.75
1617758288.4478972,21.75
1617758293.095419,21.75
1617758298.2104237,21.75
1617758303.0365198,22.0
1617758308.125781,22.0
1617758313.360489,22.0
1617758318.3611188,22.0
1617758323.4818594,22.0
1617758328.4883742,22.0
1617758333.4905317,22.0
1617758338.8448293,22.0
1617758343.9525425,22.0
1617758349.0272663,22.0
1617758354.1117368,22.0
1617758359.2188683,22.0
1617758364.286622,22.0
1617758369.4246724,22.0
1617758374.3943217,22.0
1617758379.494058,22.0
1617758384.6364112,22.0
1617758389.7850947,22.0
1617758394.9343143,22.0
1617758451.8829215,23.25
1617758456.853958,24.25
1617758461.8552413,24.25
1617758466.799175,24.25
1617758471.8498127,24.25
1617758476.9923232,24.25
1617758482.1065514,24.25
1617758487.182955,24.25
1617758492.2626214,24.25
1617758497.400705,24.25
1617758502.3981793,24.25
1617758507.4911516,24.25
1617758512.8246372,24.25
1617758518.2187245,24.25
1617758523.570837,24.25
1617758528.8265262,24.25
1617758533.9962986,24.25
1617758539.2096956,24.25
1617758544.4232273,24.25
1617758549.67438,24.25
1617758554.5369453,24.25
1617758559.7566216,24.25
1617758564.905875,24.25
1617758570.0719097,24.25
1617758575.147461,24.25
1617758631.6046789,25.5
1617758636.5996146,26.25
1617758641.6827993,26.25
1617758646.6920626,26.25
1617758651.6044536,26.25
1617758656.720348,26.25
1617758661.8807604,26.25
1617758666.9025598,26.25
1617758671.6831334,26.25
1617758676.6200306,26.25
1617758681.710849,26.25
1617758686.9264562,26.25
1617758692.1661716,26.25
1617758697.2374268,26.25
1617758702.2611315,26.25
1617758707.3146486,26.25
1617758712.553399,26.25
1617758717.8315241,26.25
1617758722.9233468,26.25
1617758728.0488784,26.25
1617758733.2647629,26.25
1617758738.1986475,26.25
1617758743.536554,26.25
1617758748.5265665,26.25
1617758753.7101343,26.25
1617758810.8110433,33.5
1617758816.0671208,34.5
1617758821.1440651,34.5
1617758826.0793743,34.5
1617758831.2449872,34.5
1617758836.4409173,34.5
1617758841.4411175,34.5
1617758846.613061,34.5
1617758851.8414466,34.5
1617758857.0198379,34.75
1617758862.246078,34.75
1617758867.4902942,34.75
1617758872.7133067,34.75
1617758877.891603,34.75
1617758882.9946446,34.75
1617758888.2096307,34.75
1617758893.469509,34.75
1617758898.6963387,34.75
1617758903.8224986,34.75
1617758908.9779716,34.75
1617758913.9612458,34.75
1617758919.098233,34.75
1617758924.221828,34.75
1617758929.4154322,34.75
1617758934.578884,34.75
1617758992.8215094,36.5
1617758997.7662117,37.25
1617759002.7931705,37.25
1617759007.9688134,37.25
1617759013.0577378,37.25
1617759018.143253,37.25
1617759023.1780815,37.25
1617759028.327531,37.25
1617759033.2706876,37.25
1617759038.3507566,37.25
1617759043.1978412,37.25
1617759048.2284167,37.25
1617759053.478737,37.25
1617759058.7300684,37.25
1617759063.5413556,37.25
1617759068.714911,37.25
1617759073.789634,37.25
1617759079.020353,37.25
1617759084.1964328,37.25
1617759089.4091952,37.25
1617759094.5430822,37.25
1617759099.5350301,37.25
1617759104.301495,37.25
1617759109.0251832,37.25
1617759113.744793,37.25
1617759170.2520251,37.75
1617759175.1831572,37.75
1617759179.827914,37.75
1617759184.9912455,37.75
1617759190.1965868,37.75
1617759195.4457965,37.75
1617759200.71881,37.75
1617759205.7120714,37.75
1617759210.6792676,37.75
1617759215.8134427,37.75
1617759220.673658,37.75
1617759225.918758,37.75
